what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.ide.desktop.integration.protocolhandler,2.0.0.1253913567,com.aptana.ide.desktop.integration.protocolhandler,1263226017762
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1263226018097
started,bundle,com.aptana.ide.update,2.0.0.1256853725,com.aptana.ide.update,1263226018125
started,bundle,com.aptana.ide.update.eclipse34,2.0.0.1257900571,com.aptana.ide.update.eclipse34,1263226018219
started,bundle,com.aptana.ide.desktop.integration.server,2.0.0.1253913567,com.aptana.ide.desktop.integration.server,1263226018343
started,bundle,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console,1263226018594
started,bundle,com.aptana.ide.installer,2.0.0.1255027359,com.aptana.ide.installer,1263226018733
started,bundle,com.aptana.ide.editors,2.0.0.1256761519,com.aptana.ide.editors,1263226019276
started,bundle,com.aptana.ide.scripting,2.0.0.1253913567,com.aptana.ide.scripting,1263226019374
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1263226019693
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263226019697
started,bundle,org.eclipse.equinox.p2.console,1.0.0.v20080514-1900,org.eclipse.equinox.p2.console,1263226020378
started,bundle,com.aptana.ide.update.eclipse35,2.0.0.1257900571,com.aptana.ide.update.eclipse35,1263226020680
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1263226020954
started,bundle,com.aptana.ide.server.jetty,2.0.0.1256341583,com.aptana.ide.server.jetty,1263226021293
started,bundle,com.aptana.ide.update.ui,2.0.0.1257900571,com.aptana.ide.update.ui,1263226021294
started,bundle,com.aptana.radrails.intro,2.0.0.1256853868,com.aptana.radrails.intro,1263226021397
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1263226022092
started,bundle,com.aptana.radrails.sqlite3.win32,3.5.7.1257900714,com.aptana.radrails.sqlite3.win32,1263226022093
started,bundle,org.eclipse.eclipsemonkey,2.0.0.1256160806,org.eclipse.eclipsemonkey,1263226022112
started,bundle,com.aptana.ide.server.portal,2.0.0.1254275737,com.aptana.ide.server.portal,1263226022267
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,2.0.0.1253913567,org.eclipse.eclipsemonkey.lang.javascript,1263226022485
started,bundle,org.eclipse.eclipsemonkey.lang.ruby,1.2.2.1252597864,org.eclipse.eclipsemonkey.lang.ruby,1263226022580
started,bundle,org.rubypeople.rdt.core,1.3.2.1255537611,org.rubypeople.rdt.core,1263226028856
started,bundle,org.rubypeople.rdt.launching,1.3.0.1254241359,org.rubypeople.rdt.launching,1263226028911
