what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263243183486
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263243184239
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263243203096
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263243205447
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263243207689
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263243488801
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263243489944
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263243491842
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263243492967
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263243494007
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263243495416
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263243500853
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263243756353
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263243768482
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263243772142
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263243791347
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263243793386
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244541082
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263244554827
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244563095
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244590128
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244590805
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244593161
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244598427
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244598430
