what,kind,bundleId,bundleVersion,description,time
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233747833
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233750118
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233755120
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233764610
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233769785
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233782494
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233787928
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233792446
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233793401
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263233820588
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263233823761
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233828080
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263233829641
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233831052
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263233837455
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233841333
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233866963
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233946124
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233976531
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233978150
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233981108
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233981112
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233981117
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234003707
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263234003878
