what,kind,bundleId,bundleVersion,description,time
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263234008638
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263234013218
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263234015560
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1263234039237
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1263234042108
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234052916
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234060942
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234104264
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234105233
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234106183
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234112156
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1263234113888
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234114838
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234122232
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1263234169420
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263234235140
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234241547
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234310909
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263234313208
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263234318783
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263234319578
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263234325262
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234326494
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234334984
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234338429
