what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.rdt,1.3.1.1255023174,com.aptana.rdt,1263226029014
started,bundle,org.radrails.rails.core,1.3.1.1255533415,org.radrails.rails.core,1263226029028
opened,editor,com.aptana.radrails.intro,2.0.0.1256853868,com.aptana.radrails.MyRadRailsEditor,1263226029445
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263226029666
started,bundle,org.rubypeople.rdt.debug.ui,1.3.2.1254334821,org.rubypeople.rdt.debug.ui,1263226029889
started,bundle,com.aptana.rdt.ui,1.3.2.1254332735,com.aptana.rdt.ui,1263226029907
started,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1253913567,org.eclipse.eclipsemonkey.doms,1263226030047
started,bundle,org.rubypeople.rdt.debug.core,1.3.2.1254241359,org.rubypeople.rdt.debug.core,1263226030057
started,bundle,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui,1263226031174
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1263226031341
started,bundle,org.rubypeople.rdt.testunit,1.2.4.1254241359,org.rubypeople.rdt.testunit,1263226032220
started,bundle,org.radrails.rails.ui,1.3.1.1254927943,org.radrails.rails.ui,1263226032221
started,bundle,org.radrails.db.core,2.0.0.1252597864,org.radrails.db.core,1263226033400
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263226114430
activated,editor,com.aptana.radrails.intro,2.0.0.1256853868,com.aptana.radrails.MyRadRailsEditor,1263226117238
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1263226117257
closed,editor,com.aptana.radrails.intro,2.0.0.1256853868,com.aptana.radrails.MyRadRailsEditor,1263226117259
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263226118897
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263226123495
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263226239224
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263226241954
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263226282490
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1263226283395
opened,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263226284631
started,bundle,com.aptana.rdt.rake,1.3.2.1254241359,com.aptana.rdt.rake,1263226284809
