what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244604606
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244621728
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244622251
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244637276
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244638234
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244696515
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244699447
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244699453
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244702637
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244718445
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244721704
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244724353
opened,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263244724457
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263244724490
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263244724490
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263244727052
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1263244732673
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263244734444
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1263244740263
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263244745795
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263244747932
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263244750044
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263244753244
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263244754009
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263244758060
