what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231414339
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231439286
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231441253
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231737737
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231739055
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231820590
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231828589
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231831340
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232077228
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232081341
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232087015
opened,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263232087113
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263232087147
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263232087148
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232091665
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232100072
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232112587
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232118073
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232141162
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232142794
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232143841
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232147098
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232174898
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232177910
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263232183032
