what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234582788
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234583871
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234584130
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234587143
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234587432
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234587936
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234592874
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234604495
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263234607481
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263234608945
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234634392
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234674297
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263234676799
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234683328
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234687016
opened,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263234687146
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263234687200
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263234687200
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263234706988
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234712827
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234804689
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263234807447
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263234815069
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234824402
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234834888
