what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.ide.editor.js,2.0.0.1257387989,com.aptana.ide.editor.js,1263230448699
started,bundle,com.aptana.ide.editors.codeassist,2.0.0.1253913567,com.aptana.ide.editors.codeassist,1263230449352
started,bundle,com.aptana.ide.core.spellcheck,2.0.0.1253913567,com.aptana.ide.core.spellcheck,1263230449623
opened,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263230449698
started,bundle,com.aptana.ide.editor.json,2.0.0.1257900571,com.aptana.ide.editor.json,1263230449895
started,bundle,com.aptana.ide.editor.xml,2.0.0.1253913567,com.aptana.ide.editor.xml,1263230449963
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263230450070
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263230450081
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263230460244
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263230467485
opened,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263230467882
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263230467936
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263230467936
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263230485597
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263230486448
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263230535873
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263230965221
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263231016539
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231024764
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231026402
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231027347
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231035488
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231128330
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231130598
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263231134745
