what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231136663
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231218989
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231222700
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231238408
opened,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263231238514
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263231238550
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263231238550
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263231285151
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263231286111
closed,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263231287644
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263231288910
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263231308575
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263231310870
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263231312131
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263231313290
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231322323
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231365365
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231375611
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231385964
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231391176
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231392629
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231396833
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231396835
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231396971
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263231410932
