what,kind,bundleId,bundleVersion,description,time
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263233288958
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233290575
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233298773
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233302055
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233316865
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233319674
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263233321215
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233328889
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233419670
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233532289
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263233536336
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233537040
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263233539490
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233547632
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233548517
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233556090
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233556733
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233557678
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233561848
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233566238
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233567812
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233570578
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233573540
closed,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233573540
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233575841
