what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234835686
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234951566
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263234953975
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234963142
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234969497
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234979314
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263235192813
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263235219302
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263235239688
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263235241596
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263235257086
opened,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263235257184
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263235257217
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263235257217
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263235259666
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1263235267425
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263235269080
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1263235274109
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263235278160
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263235279353
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263235282225
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263235286160
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1263235290584
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263235292054
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1263235297062
