what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1263226012650
started,bundle,org.eclipse.update.ui,3.2.101.R34x_v20081128,org.eclipse.update.ui,1263226012684
started,bundle,com.aptana.ide.core,2.0.0.1256166109,com.aptana.ide.core,1263226012717
started,bundle,com.aptana.ide.core.io,2.0.2.1257900571,com.aptana.ide.core.io,1263226012718
started,bundle,com.aptana.ide.core.ui,2.0.2.1257900571,com.aptana.ide.core.ui,1263226012718
started,bundle,com.aptana.ide.debug.ui,2.0.0.1254164293,com.aptana.ide.debug.ui,1263226012773
started,bundle,com.aptana.ide.epl,2.0.0.1256160806,com.aptana.ide.epl,1263226012806
started,bundle,com.aptana.ide.intro,2.0.0.1256597898,com.aptana.ide.intro,1263226012868
started,bundle,com.aptana.ide.syncing.core,2.0.1.1257900571,com.aptana.ide.syncing.core,1263226012868
started,bundle,com.aptana.ide.syncing.ui,2.0.2.1257900571,com.aptana.ide.syncing.ui,1263226012869
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1263226013167
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1263226013766
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1263226013799
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,org.eclipse.mylyn.monitor.ui,1263226013896
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,org.eclipse.mylyn.commons.net,1263226014105
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,org.eclipse.mylyn.commons.ui,1263226014673
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.1.v20091215-0000-e3x,org.eclipse.mylyn.bugzilla.core,1263226014971
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,org.eclipse.mylyn.bugzilla.ui,1263226015103
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,org.eclipse.mylyn.context.core,1263226015307
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,org.eclipse.mylyn.context.ui,1263226015395
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,org.eclipse.mylyn.tasks.ui,1263226015589
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,org.eclipse.mylyn.team.ui,1263226015732
started,bundle,com.aptana.ide.debug.core,2.0.0.1256168103,com.aptana.ide.debug.core,1263226017443
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1263226017560
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1263226017611
