what,kind,bundleId,bundleVersion,description,time
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263232686824
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263232688698
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263232690921
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232700161
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232701130
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232702601
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232703846
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232707721
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232726012
opened,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263232726108
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263232726143
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263232726143
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232730462
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232736860
opened,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263232736992
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263232737031
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263232737032
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263232749386
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263232751459
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1263232753984
started,bundle,org.rubypeople.rdt.refactoring,1.2.2.1252686004,org.rubypeople.rdt.refactoring,1263232756906
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1263232756972
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1263232758448
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1263232770344
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263232774759
