what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234356444
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234360881
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234404158
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263234404275
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263234406318
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263234412622
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234419656
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234490003
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263234492375
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263234494449
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234501080
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234520805
opened,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263234520964
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263234521015
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263234521015
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263234534976
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263234538869
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263234539656
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263234554249
closed,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263234554250
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263234556506
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234562925
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234579912
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234580173
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263234582786
