what,kind,bundleId,bundleVersion,description,time
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263226284959
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263226285013
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263226307315
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263226310894
opened,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263226311020
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263226311063
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263226311063
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263226321544
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263226338513
opened,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263226338621
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263226338655
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263226338656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263226440961
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263227879961
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263227883341
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263227886645
opened,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263227886732
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263227886773
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263227886774
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263227889119
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263227894102
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263227901554
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263227916183
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263228110071
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263228110774
