what,kind,bundleId,bundleVersion,description,time
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233586798
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233587771
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233592026
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233600385
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233663565
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233665290
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233666066
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233668293
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233670448
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233671978
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233673024
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233680006
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263233681020
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233682022
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263233692033
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233694521
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263233697110
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233700836
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263233713762
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233719454
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263233721243
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263233726044
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233742030
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263233743799
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263233746054
