what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263229355226
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263229356326
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263229389419
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263229470634
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263229559583
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263229579009
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263229744207
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263229752220
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263229860718
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263229891247
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263229914273
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263229945830
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263230053903
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263230132460
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263230274065
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263230347369
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263230420262
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263230434806
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263230447180
started,bundle,com.aptana.ide.editor.html,2.0.0.1257547875,com.aptana.ide.editor.html,1263230447353
started,bundle,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editor.erb,1263230447374
started,bundle,com.aptana.ide.snippets,2.0.0.1254164293,com.aptana.ide.snippets,1263230447589
started,bundle,com.aptana.ide.editor.css,2.0.0.1257380403,com.aptana.ide.editor.css,1263230447823
started,bundle,com.aptana.ide.parsing,2.0.0.1257900571,com.aptana.ide.parsing,1263230447891
started,bundle,com.aptana.ide.parsing.eclipse,2.0.0.1257900571,com.aptana.ide.parsing.eclipse,1263230448422
